Title,Content
"Inter-service communication in Microservice Architectures with Redis Streams","Redis Streams, the popular append-only data structure available in Redis together with other popular data structures, serve many use cases. In this post, I will focus on setting up a simple inter-service communication mechanism. I will take as an example a knowledge base application (keybase) that I developed and is available for free (MIT license). Keybase is a simple Flask document-serving server backed by Redis Stack. You can learn more in this blog post. Clone the repository and test it locally on your computer. The knowledge base implements document recommendations based on Vector Similarity Search (VSS), which offers real-time semantic searches. If you want to learn more about VSS, I have introduced it in two former posts: Face Recognition with RediSearch and Vector Similarity and Recommended Documents with RediSearch using Python and Lua scripting. VSS is based on the generation, storage, and indexing of vector embeddings. This means that every time a user creates a new document, a vector must be generated using one of the popular machine learning models (such as the Sentence Transformers library). Embeddings must also be regenerated whenever a document is updated with new content, so the embedding will represent the updated content. Once the vector has been generated, it can be stored in the database. Only at this point, Redis will proceed to update the index."
"Import the World Database into Redis","I often need some dummy data for my tests and, as used as I am to import the SQL dump of the into MySQL, I wanted to make consistent tests and examples against the same simple dataset. So I converted the three tables of this dataset into Redis commands, so you can import the data should you need it. The entities storing the data are Hashes. As reported in the source database, the world database is Copyright Statistics Finland."
"Principles of Storytelling","When there is a good story behind a product, content, a presentation… anything looks better, appealing, and familiar to the target audience. I work as a Technical Enablement Architect, in charge of producing technical educational content and delivering onboarding sessions, among other things, and that is one of the reasons I feel this challenge is particularly urgent (and Plato came to the same conclusion a long, long time ago). Engaging an audience is challenging: owning and respecting other people’s time should always be the highest priority for those who are producing and delivering content. In the end, we all want to live great experiences, and if the audience will have a good time, it is likely that we have created value. When you need to research content for your presentation, tutorial, article, or anything that you’d like to turn into a resource to transmit information and, eventually, educate people, you can start browsing the Internet for sure, dump your notes into a text file, reorganize them with your personal touch and connect the dots. That usually works. Having an SME (Subject Matter Expert) at hand is even better. Experts will help filter the right content with their experience and authority while reassuring that the material is suitable and well-scoped. Therefore it is possible to summarize as follows. Ask. By recurring to an expert on that matter. Research. The Internet, libraries, documents, knowledge bases, etc. MBWA (Manage By Walking Around). Get up and move around: go to the desks of your colleagues if you are in the office, drink coffee and conversate during lunch breaks. You’ll see how informal learning is effective, and even more honest when it happens in an unpredictable way."
"Recommended Documents with RediSearch using Python and Lua scripting","The idea behind recommendations using Vector Similarity Search (VSS) is to transform a text into its corresponding vector embedding and use it to find similar vectors, which are associated and represent other documents. Without further ado, let’s describe the example you can find in the corresponding repository. I will show how to implement a system to recommend articles that are similar to one provided article, and for this purpose, I have collected 9 articles subdivided into 3 categories: sport, news, and culture. These articles are written into a file in JSON format, one article per line. In this example, I leverage RediSearch VSS capabilities to implement recommendations for textual content. The example is provided in Python language, and takes advantage of Redis Lua scripting to fetch the vector embedding and perform the search on the fly against all the articles in the keyspace (oh, the good old join!). I hope you enjoyed it! Redis is a registered trademark of Redis Ltd. Any rights therein are reserved to Redis Ltd. Any use by mortensi is for referential purposes only and does not indicate any sponsorship, endorsement or affiliation between Redis and mortensi."
"Face Recognition with RediSearch and Vector Similarity","Using this feature, it is possible to index heterogeneous sources of data once converted in their corresponding vector embedding, and then use such index to perform similarity search. Refer to the RediSearch description and detailed documentation of vector similarity. In this post, I will extend the examples that I have written some time ago when I classified vector embeddings using either an iterative approach (minimum distance between vectors) and using Hierarchical Navigable Small World similarity search (HNSW) for the classification, made available by hnswlib Python library. For this post, I have used Redis to classify faces in a face recognition system, taking advantage of RediSearch Vector Similarity new feature. I am using the redis-py new extension for Vector Similarity. Find the documentation here: vector similarity with redis-py. RediSearch implementation of the nearest neighbor search using Hierarchical Navigable Small World graphs (HNSW) works smoothly and behaves as expected, with an expected recognition rate of 97% on the ORL face database, if benchmarked against other similar libraries (e.g. hnswlib Python library). With the additional speed of Redis and the scalability of Redis Enterprise and Redis Cloud, I foresee a lot of fun turning the most different and creative ideas into reality. Remember, you can use RediSearch with Vector Similarity using Redis OSS, Redis Enterprise, and the managed Redis Cloud."
"Introduction to Face Recognition using Python","A few years ago (just a few, in 2003) I discussed the thesis for my degree in Electronic Engineering: “Classification of Log-Gabor Features for Biometric Face Recognition“. It was a really engaging project and I achieved good results in terms of recognition rate using a wavelet transform and a neural network classificator. Afterward, I dropped the topic and did not develop it further. Maybe I will post some results someday. Back to these times, a few days ago I decided to spend some spare time testing feature extraction and classification in Python and created this repository with a couple of tests. Here are some assumptions. I am using the “The ORL Database of Faces” to train and test a system for feature extraction and classification. The ORL database is among the simplest face databases, made up of pictures of 40 individuals, 10 pictures each, for a total of 400 pictures, 92×112 black and white bitmaps. The faces are already aligned, normalized, and ready to pass through a feature extraction algorithm. I am using 5 images to train the system and the remaining 5 images for testing through the classification algorithm. So, in total, there are 200 training faces for 40 individuals and 200 testing faces."
"From SQL to Redis Searches: an introduction","In my previous post I shared a few methods to export a table from MySQL (or any other relational database) and import the rows into Redis Server in the form of Redis Hashes, which is a convenient Redis data structure for this purpose. Now the next step is understanding how to operate with this Redis data type to perform the most common searches. So let’s see a few examples of common SQL queries and how to achieve the same results in Redis. In the following examples I will use the world database to perform the example and whose table city was imported in the previous post into Redis. Redis Server offers plenty of capabilities to manage indexes manually (or even inverted indexes for full text searches). In this post I have gone through basic examples, but the options to retrieve data using the core data types are unlimited. If you want to take advantage of advanced features for searches, you can use RediSearch with Redis OSS, Redis Enterprise and Redis Enterprise Cloud, taking searches to a new level. In these examples I have used redis-cli, check client libraries such as redis-py to test the features of RediSearch using Python. Finally, RediSearch is not just about range or prefix searches, or aggregation queries. There are multiple types of searches, such as phonetic matching, autocompletion suggestions, geo searches or the spellchecker to help design great applications. I will cover them in a future post."
"Migrate a MySQL Table to Redis","In this post I will list a few options to migrate a table from MySQL to Redis logically. I will run examples using the classical world database. The world database can be downloaded here, so if you would like to try the examples, just import it in your MySQL instance. There are several ways to go ahead and import a table into Redis, let’s go through some of them. In the following examples I will choose a Hash data type, the most similar thing to a traditional table row in Redis."
"Connect to Redis with Python","Python clients you can use to connect to a Redis Server are listed in the documentation. I personally use redis-py, but Redis the company has just released Redis OM for Python, so I think it is worth to have a look. I will share here basic instructions to connect to a Redis Server and test a couple of commands. Python clients you can use to connect to a Redis Server are listed in the documentation. I personally use redis-py, but Redis the company has just released Redis OM for Python, so I think it is worth to have a look. I will share here basic instructions to connect to a Redis Server and test a couple of commands. Using redis-py or any other similar connector, you will have access to well known data structures and the usual commands. But for advanced users, Redis OM for Python is the deus ex machina which boosts expressiveness of the code, and therefore unleash the whole potential of data modelling using Redis. Presented in December 2021, Redis OM is a brand new library that enables developers to use object mapping, data validation, indexes, nested data structures using JSON and the ability to interact with all these features in a compact way, from the same library and, above all, without compromising on the performance you are used to."
"Understand, Setup and Test a Redis Cluster in less than 10 minutes","You already know how to setup a Redis Server in a few seconds following my advices in this post, now it’s time to think big and learn how to scale a Redis Server. Let’s start with a quote from the documentation. ""Redis is, mostly, a single-threaded server from the POV of commands execution (actually modern versions of Redis use threads for different things). It is not designed to benefit from multiple CPU cores. People are supposed to launch several Redis instances to scale out on several cores if needed"". So in a Redis Server, all the data is stored in the memory space of the process itself and managed by a single core. To take advantage of multiple cores (in the same machine or other machines), the dataset must be divided in multiple pieces, where every piece is managed by the processing capacity of a core. And this is possible with Redis Cluster."
